մեկ	01
երկու	02
երկուս	02
երեք	03
չորս	04
հինգ	05
վեց	06
յոթ	07
ութ	08
ինը	09
տասը	10
տասնմեկ	11
տասներկու	12
տասներկուս	12
տասներեք	13
տասնչորս	14
տասնհինգ	15
տասնվեց	16
տասնյոթ	17
տասնութ	18
տասնինը	19
քսան	20
քսանմեկ	21
քսաներկու	22
քսաներկուս	22
քսաներեք	23
քսանչորս	24
քսանհինգ	25
քսանվեց	26
քսանյոթ	27
քսանութ	28
քսանինը	29
երեսուն	30
երեսունմեկ	31
երեսուներկու	32
երեսուներկուս	32
երեսուներեք	33
երեսունչորս	34
երեսունհինգ	35
երեսունվեց	36
երեսունյոթ	37
երեսունութ	38
երեսունինը	39
քառասուն	40
քառասունմեկ	41
քառասուներկու	42
քառասուներկուս	42
քառասուներեք	43
քառասունչորս	44
քառասունհինգ	45
քառասունվեց	46
քառասունյոթ	47
քառասունութ	48
քառասունինը	49
հիսուն	50
հիսունմեկ	51
հիսուներկու	52
հիսուներկուս	52
հիսուներեք	53
հիսունչորս	54
հիսունհինգ	55
հիսունվեց	56
հիսունյոթ	57
հիսունութ	58
հիսունինը	59