एक	५९
दोन	५८
तीन	५७
चार	५६
पाच	५५
सहा	५४
सात	५३
आठ	५२
नऊ	५१
दहा	५०
अकरा	४९
बारा	४८
तेरा	४७
चौदा	४६
पंधरा	४५
सोळा	४४
सतरा	४३
अठरा	४२
एकोणीस	४१
वीस	४०
एकवीस	३९
बावीस	३८
तेवीस	३७
चोवीस	३६
पंचवीस	३५
सव्वीस	३४
सत्तावीस	३३
अठ्ठावीस	३२
एकोणतीस	३२
तीस	३०
एकतीस	२९
बत्तीस	२८
तेहतीस	२७
चौतीस	२६
पस्तीस	२५
छत्तीस	२४
सदतीस	२३
अडतीस	२२
एकोणचाळीस	२१
चाळीस	२०
एकेचाळीस	१९
बेचाळीस	१८
त्रेचाळीस	१७
चव्वेचाळीस	१६
पंचेचाळीस	१५
सेहचाळीस	१४
सत्तेचाळीस	१३
अठ्ठेचाळीस	१२
एकोणपन्नास	११
पन्नास	१०
एकावन्न	९
बावन्न	८
त्रेपन्न	७
चौपन्न	६
पंचावन्न	५
छप्पन	४
सत्तावन्न	३
अठ्ठावन्न	२
एकोणसाठ	१