d	giorno
f	fahrenheit
c	celsius
°C	grado celsius
°F	grado fahrenheit
K	kelvin
km	chilometro
m	metro
cm	centimetro
mm	millimetro
μm	micrometro
nm	nanometro
dm	decimetro
pm	picometro
hm	ettometro
ha	ettaro
mi	miglio
m²	metro quadrato	-0.0001
km²	chilometro quadrato	-0.0001
m2	metro quadrato
km2	chilometro quadrato
m3	metro cubo
ft	foot
g	grammo
µg	microgrammo
mg	milligrammo
kg	chilogrammo
lb	libbra
h	ora
s	secondo
min	minuto
ms	millisecondo
μs	microsecondo
hz	hertz
kw	kilowatt
ghz	gigahertz
khz	kilohertz
mhz	megahertz
v	volt
mc	megacoulomb
mA	milliampere
A	ampere
tw	terawatt
mv	millivolt
mw	megawatt
gw	gigawatt
ω	ohm
db	decibel
gb	gigabyte
kb	kilobit
pb	petabit
mb	megabyte
kb	kilobyte
tb	terabyte
kv	kilovolt
mv	megavolt
kn	kilonewton
ml	millilitro
l	litro
dl	decilitro
bar	bar
kcal	chilocaloria
cal	caloria